imagen,condicion,NIQE,BRISQUE,Ma,MUSIQ,PI
low-resolution-photographs_img1,Original degradada,2.7918736407310436,13.0828857421875,7.6213483810424805,46.685325622558594,2.585262629844282
low-resolution-photographs_img1,Pipeline preentrenado,3.634038485916777,17.56109619140625,5.861502170562744,38.09452819824219,3.8862681576770166
low-resolution-photographs_img1,Pipeline ajustado,4.1075376238069286,15.708740234375,5.784423828125,36.131534576416016,4.161556897840964
low-resolution-photographs_img108,Original degradada,3.5683360162735847,18.0491943359375,6.205988883972168,52.920166015625,3.6811735661507083
low-resolution-photographs_img108,Pipeline preentrenado,6.492917339170219,30.93511962890625,4.557982921600342,38.48065948486328,5.967467208784939
low-resolution-photographs_img108,Pipeline ajustado,6.147659835759231,25.47344970703125,4.631181240081787,37.54861831665039,5.758239297838722
low-resolution-photographs_img109,Original degradada,3.9690195169814264,27.78424072265625,7.526669979095459,41.37985610961914,3.2211747689429835
low-resolution-photographs_img109,Pipeline preentrenado,7.050341214466583,39.102294921875,4.77898645401001,38.28514099121094,6.1356773802282865
low-resolution-photographs_img109,Pipeline ajustado,6.676848683705188,33.40106201171875,4.822397708892822,37.8879508972168,5.927225487406183
low-resolution-photographs_img11,Original degradada,3.0516001365794674,14.968994140625,6.855642318725586,33.17607116699219,3.0979789089269407
low-resolution-photographs_img11,Pipeline preentrenado,3.062023106515463,12.9852294921875,6.309023857116699,39.93630599975586,3.376499624699382
low-resolution-photographs_img11,Pipeline ajustado,3.0399524267285334,12.45147705078125,6.437767028808594,34.67481231689453,3.3010926989599696
low-resolution-photographs_img110,Original degradada,5.756451117420072,43.2197265625,3.54310941696167,22.284326553344727,6.106670850229201
low-resolution-photographs_img110,Pipeline preentrenado,2.9599324102843347,2.82464599609375,5.316351890563965,36.43488311767578,3.821790259860185
low-resolution-photographs_img110,Pipeline ajustado,2.9675168301053825,0.74932861328125,5.676275253295898,26.877824783325195,3.645620788404742
low-resolution-photographs_img12,Original degradada,3.0020291106681873,4.12005615234375,6.971409320831299,57.97782897949219,3.0153098949184445
low-resolution-photographs_img12,Pipeline preentrenado,3.632302729232214,13.16571044921875,5.380868911743164,52.93927001953125,4.125716908744525
low-resolution-photographs_img12,Pipeline ajustado,3.993202709801673,11.54473876953125,5.6717143058776855,49.81657791137695,4.160744201961994
