imagen,condicion,NIQE
low-resolution-photographs_img161,Original degradada,11.406680234665389
low-resolution-photographs_img161,Pipeline preentrenado,6.81961680599929
low-resolution-photographs_img161,Pipeline ajustado,8.629448137707255
low-resolution-photographs_img162,Original degradada,15.21451809939971
low-resolution-photographs_img162,Pipeline preentrenado,10.40185613617109
low-resolution-photographs_img162,Pipeline ajustado,9.907027432051144
low-resolution-photographs_img163,Original degradada,14.65139318695903
low-resolution-photographs_img163,Pipeline preentrenado,8.13566038191316
low-resolution-photographs_img163,Pipeline ajustado,8.542446826443722
low-resolution-photographs_img164,Original degradada,3.330081184205116
low-resolution-photographs_img164,Pipeline preentrenado,3.498286097973322
low-resolution-photographs_img164,Pipeline ajustado,3.82378578019972
low-resolution-photographs_img173,Original degradada,8.772430649400773
low-resolution-photographs_img173,Pipeline preentrenado,2.8331132101445724
low-resolution-photographs_img173,Pipeline ajustado,2.953302912353002
low-resolution-photographs_img179,Original degradada,3.189186908443594
low-resolution-photographs_img179,Pipeline preentrenado,3.7933632321600905
low-resolution-photographs_img179,Pipeline ajustado,3.7314043924426
low-resolution-photographs_img18,Original degradada,3.1590831545630027
low-resolution-photographs_img18,Pipeline preentrenado,3.7202084874116097
low-resolution-photographs_img18,Pipeline ajustado,3.6740706600825503
low-resolution-photographs_img20,Original degradada,4.748314670055763
low-resolution-photographs_img20,Pipeline preentrenado,6.058839268134378
low-resolution-photographs_img20,Pipeline ajustado,4.944555267606985
low-resolution-photographs_img22,Original degradada,4.081594139088485
low-resolution-photographs_img22,Pipeline preentrenado,3.0404609002451606
low-resolution-photographs_img22,Pipeline ajustado,3.300785984083017
low-resolution-photographs_img23,Original degradada,4.197388722845459
low-resolution-photographs_img23,Pipeline preentrenado,3.662916763765874
low-resolution-photographs_img23,Pipeline ajustado,3.656051760197981
low-resolution-photographs_img24,Original degradada,3.755872590316966
low-resolution-photographs_img24,Pipeline preentrenado,3.93756373438356
low-resolution-photographs_img24,Pipeline ajustado,4.135993059759799
low-resolution-photographs_img25,Original degradada,5.651479225307342
low-resolution-photographs_img25,Pipeline preentrenado,3.0367304328705593
low-resolution-photographs_img25,Pipeline ajustado,3.8258558129648486
low-resolution-photographs_img3,Original degradada,5.385950426647514
low-resolution-photographs_img3,Pipeline preentrenado,8.40775027489173
low-resolution-photographs_img3,Pipeline ajustado,8.05282350238852
low-resolution-photographs_img34,Original degradada,2.6680643081296243
low-resolution-photographs_img34,Pipeline preentrenado,3.0753677195994733
low-resolution-photographs_img34,Pipeline ajustado,3.348724451340927
low-resolution-photographs_img37,Original degradada,3.0821054025746557
low-resolution-photographs_img37,Pipeline preentrenado,2.9284944327205658
low-resolution-photographs_img37,Pipeline ajustado,3.211092819934304
low-resolution-photographs_img38,Original degradada,3.0760594980873086
low-resolution-photographs_img38,Pipeline preentrenado,4.374526426042599
low-resolution-photographs_img38,Pipeline ajustado,5.204230475386935
low-resolution-photographs_img40,Original degradada,3.1109363799474195
low-resolution-photographs_img40,Pipeline preentrenado,3.8728429855945574
low-resolution-photographs_img40,Pipeline ajustado,4.358447404221408
low-resolution-photographs_img6,Original degradada,4.61269149817273
low-resolution-photographs_img6,Pipeline preentrenado,3.4031213688506807
low-resolution-photographs_img6,Pipeline ajustado,3.750887401643659
low-resolution-photographs_img98,Original degradada,2.67362830485956
low-resolution-photographs_img98,Pipeline preentrenado,3.8741811548755694
low-resolution-photographs_img98,Pipeline ajustado,4.144616810298061
