condicion,NIQE medio,desv. típica,mediana
Original degradada,4.014439032345559,1.4572820989229274,3.5683360162735847
Pipeline preentrenado,4.1358503810896785,1.5331468539667794,3.663053595386586
Pipeline ajustado,4.2487877215934935,1.3121365489715993,3.825833092307833
