condicion,PI medio,desv. típica,mediana
Original degradada,3.362489152599433,1.060033310041067,3.158313623500397
Pipeline preentrenado,4.120228220922182,1.2113330021314281,3.8862681576770166
Pipeline ajustado,4.257112287637393,1.0084145008158976,3.941023708313513
