condicion,Ma medio,desv. típica,mediana
Original degradada,7.289460727146694,1.4989245794507513,7.501930236816406
Pipeline preentrenado,5.895393939245315,1.1417701758391015,5.598767280578613
Pipeline ajustado,5.734563146318708,0.8491055543396884,5.759564399719238
