condicion,BRISQUE medio,desv. típica,mediana
Original degradada,19.113133021763392,11.410600192846802,15.3299560546875
Pipeline preentrenado,17.88536144438244,11.150373051902392,13.44610595703125
Pipeline ajustado,15.709990001860119,10.221629478362235,12.45147705078125
