condicion,MUSIQ medio,desv. típica,mediana
Original degradada,49.7280645824614,11.886593103603854,52.920166015625
Pipeline preentrenado,50.47472981044224,11.662083689928483,52.80187225341797
Pipeline ajustado,49.06738199506487,12.096041122513949,49.81657791137695
